,特征变量（关键因素）,,,,,,,目标变量
数据编号,1.温度/℃,2.湿度/%,3.工业污染物,,,4.光照/μW·cm-2,腐蚀时间/h,腐蚀速率/mg·cm-2
Number of data,Temperature/℃,Humidity/%,Na2SO4  /mol·L,NaHCO3 /mol·L ,NaNO3 /mol·L,Ultraviolet light/μW·cm-2,Time/h,Corrosion rate/mg·cm-2
1,40,95,0.01,0.01,0.01,0,12,0.23892
2,40,95,0.01,0.01,0.01,0,24,0.16826
3,40,95,0.01,0.01,0.01,0,36,0.13823
4,40,95,0.01,0.01,0.01,0,48,0.20302
5,40,95,0.01,0.01,0.01,0,60,0.14754
6,40,95,0.01,0.01,0.01,0,72,0.13497
7,40,95,0.01,0.01,0.01,0,84,0.10662
8,40,95,0.01,0.01,0.01,0,96,0.06888
9,40,95,0.01,0.01,0.01,0,108,0.09934
10,40,95,0.01,0.01,0.01,0,120,0.10018
11,40,95,0.01,0.01,0.01,0,132,0.0781
12,40,95,0.01,0.01,0.01,0,144,0.07729
13,40,95,0.01,0.01,0.01,0,156,0.08781
14,40,95,0.01,0.01,0.01,0,168,0.05963
15,40,95,0.01,0.01,0.01,0,180,0.08753
16,40,95,0.01,0.01,0.01,0,192,0.08405
17,40,95,0.01,0.01,0.01,0,204,0.08322
18,40,95,0.01,0.01,0.01,0,216,0.0775
19,40,95,0.01,0.01,0.01,0,228,0.0735
20,40,95,0.01,0.01,0.01,0,240,0.07719
21,40,95,0.01,0.01,0.01,0,252,0.07431
22,40,95,0.01,0.01,0.01,0,264,0.07176
23,40,95,0.01,0.01,0.01,0,276,0.07266
24,40,95,0.01,0.01,0.01,0,288,0.06976
25,40,95,0.01,0.01,0.01,0,300,0.07565
26,40,95,0.01,0.01,0.01,0,312,0.07549
27,40,95,0.01,0.01,0.01,0,324,0.07393
28,40,95,0.01,0.01,0.01,0,336,0.07188
29,40,95,0.01,0.01,0.01,0,348,0.07391
30,40,95,0.01,0.01,0.01,0,360,0.07028
31,40,95,0.01,0.01,0.01,135,12,0.20535
32,40,95,0.01,0.01,0.01,135,24,0.15453
33,40,95,0.01,0.01,0.01,135,36,0.13329
34,40,95,0.01,0.01,0.01,135,48,0.11627
35,40,95,0.01,0.01,0.01,135,60,0.10611
36,40,95,0.01,0.01,0.01,135,72,0.09846
37,40,95,0.01,0.01,0.01,135,84,0.09243
38,40,95,0.01,0.01,0.01,135,96,0.08752
39,40,95,0.01,0.01,0.01,135,108,0.08431
40,40,95,0.01,0.01,0.01,135,120,0.08819
41,40,95,0.01,0.01,0.01,135,132,0.08513
42,40,95,0.01,0.01,0.01,135,144,0.08098
43,40,95,0.01,0.01,0.01,135,156,0.07819
44,40,95,0.01,0.01,0.01,135,168,0.07552
45,40,95,0.01,0.01,0.01,135,180,0.07896
46,40,95,0.01,0.01,0.01,135,192,0.07103
47,40,95,0.01,0.01,0.01,135,204,0.0692
48,40,95,0.01,0.01,0.01,135,216,0.06734
49,40,95,0.01,0.01,0.01,135,228,0.06572
50,40,95,0.01,0.01,0.01,135,240,0.06427
51,40,95,0.01,0.01,0.01,135,252,0.06169
52,40,95,0.01,0.01,0.01,135,264,0.06121
53,40,95,0.01,0.01,0.01,135,276,0.06002
54,40,95,0.01,0.01,0.01,135,288,0.0589
55,40,95,0.01,0.01,0.01,135,300,0.05785
56,40,95,0.01,0.01,0.01,135,312,0.05686
57,40,95,0.01,0.01,0.01,135,324,0.05561
58,40,95,0.01,0.01,0.01,135,336,0.05474
59,40,95,0.01,0.01,0.01,135,348,0.05707
60,40,95,0.01,0.01,0.01,135,360,0.05368
61,40,95,0,0,0,0,12,0.21844
62,40,95,0,0,0,0,24,0.19251
63,40,95,0,0,0,0,36,0.18473
64,40,95,0,0,0,0,48,0.18957
65,40,95,0,0,0,0,60,0.13556
66,40,95,0,0,0,0,72,0.12575
67,40,95,0,0,0,0,84,0.09582
68,40,95,0,0,0,0,96,0.05682
69,40,95,0,0,0,0,108,0.07357
70,40,95,0,0,0,0,120,0.08111
71,40,95,0,0,0,0,132,0.09582
72,40,95,0,0,0,0,144,0.06852
73,40,95,0,0,0,0,156,0.08752
74,40,95,0,0,0,0,168,0.05852
75,40,95,0,0,0,0,180,0.07982
76,40,95,0,0,0,0,192,0.0841
77,40,95,0,0,0,0,204,0.07142
78,40,95,0,0,0,0,216,0.07852
79,40,95,0,0,0,0,228,0.06989
80,40,95,0,0,0,0,240,0.0772
81,40,95,0,0,0,0,252,0.06988
82,40,95,0,0,0,0,264,0.06999
83,40,95,0,0,0,0,276,0.07121
84,40,95,0,0,0,0,288,0.06889
85,40,95,0,0,0,0,300,0.07444
86,40,95,0,0,0,0,312,0.06882
87,40,95,0,0,0,0,324,0.07121
88,40,95,0,0,0,0,336,0.0701
89,40,95,0,0,0,0,348,0.06899
90,40,95,0,0,0,0,360,0.07101
